author,gender
"Janifer, Laurence M., 1933-2002",X
"Roper, Edward",X
"Revelle, G. G.",X
"Lawrence, George A. (George Alfred), 1827-1876",X
"Souvestre, Pierre, 1874-1914",X
"Arnot, Robert, 1860- [Author of introduction, etc.]",X
"Lamb, Harold, 1892-1962",X
"Jackson, Gabrielle E. (Gabrielle Emilie), 1861-",X
"Smith, Logan Pearsall, 1865-1946",X
"Pushkin, Aleksandr Sergeevich, 1799-1837 [Contributor]",X
"Landor, Walter Savage, 1775-1864",X
"Willard, Kate Livingston",X
"Hlasko, Vatslaf A. [Translator]",X
"Jackson, Helen Hunt, 1830-1885",X
"Slesar, Henry, 1927-2002",X
"McAulay, Allan, 1863-1918",X
"Leahy, Tom",X
"Van Vorst, Marie, 1867-1936",X
"Fenn, George Manville, 1831-1909",X
"Copus, J. E. (John Edwin), 1854-1915",X
"Gunnarsson, Gunnar, 1889-1975",X
"Lytton, Edward Bulwer Lytton, Baron, 1803-1873 [Contributor]",M
"Bunner, H. C. (Henry Cuyler), 1855-1896",M
"Williamson, C. N. (Charles Norris), 1859-1920",M
"Waugh, Alec, 1898-1981",X
"Fitzhugh, Percy Keese, 1876-1950",M
"Mott, Lawrence, 1881-1931",M
"Buntline, Ned, 1823?-1886",X
"Shore, W. Teignmouth (William Teignmouth), 1865-1932",X
"Ovington, Mary White, 1865-1951",F
"Deland, Margaret Wade Campbell, 1857-1945",F
"Kirchhoff, Bjarne",X
"Grenfell, Wilfred Thomason, Sir, 1865-1940",M
"Grant, James, 1822-1887",M
"Jarves, James Jackson, 1818-1888",M
"Luna, Juan de, 1585?- [Contributor]",X
"Lippard, George, 1822-1854",X
"Haldeman-Julius, E. (Emanuel), 1888-1951 [Editor]",X
"Wildman, Rounsevelle, 1864-1901",X
"Claretie, Jules, 1840-1913",M
"Harrison, Harry, 1925-2012",M
"Eastman, Charles A., 1858-1939",M
"Lang, Allen Kim, 1928-",X
"Maclaren, Ian, 1850-1907",M
"Raphael, Rick, 1919-1994",X
"Graham, Stephen, 1884-1975 [Author of introduction, etc.]",X
"Chapman, John L. (John Leslie), 1920-",X
"Griffith, Wilson Parks",X
"Hubbard, Elbert, 1856-1915",M
"Lincoln, Jeanie Gould, 1846-1921",F
"Morier, James Justinian, 1780?-1849",X
"Burton, Frederick R. (Frederick Russell), 1861-1909",X
"Smythe, James P.",X
"King, Basil, 1859-1928",M
"Miller, Samuel Henry, 1840-1918 [Editor]",X
"Bullen, Frank Thomas, 1857-1915",M
"Walton, Bryce, 1918-1988",M
"Archer, William, 1856-1924",M
I. E. M.,X
"Bicknell, Percy Favor, 1860- [Translator]",X
"Bushby, Mrs. (Anna S.) [Translator]",X
"Hooker, Brian, 1880-1946",X
"Mackenzie, Henry, 1745-1831",M
"Widdemer, Margaret, 1884-1978",F
"Stacpoole, H. De Vere (Henry De Vere), 1863-1951",M
"Cente, H. F.",X
"Guthrie, Ellen Emma",X
"Thomas, Joseph [Translator]",X
"Millet, Francis Davis, 1846-1912 [Contributor]",X
"Von Hutten, Bettina, 1874-1957",F
"Cleland, Robert",X
"Irvin, Wallace, 1876-1959",X
"Carruth, Hayden, 1862-1932",X
"Gaye, Selina [Translator]",X
"Fenollosa, Mary McNeil, -1954",X
"Defoe, Daniel, 1661?-1731",X
"Wise, Thomas A. (Thomas Alfred), 1865-1928",M
"Grand, Sarah, 1854-1943",F
"Hemphill, Vivia, 1889-1934",X
"Beza, Marcu, 1882-1949 [Contributor]",X
"Du Maurier, George, 1834-1896",M
"Lockwood, Ingersoll, 1841-1918",M
"Mackie, John, 1862-1939",X
"Ruiz de Burton, María Amparo, 1832-1895",F
"Stevenson, Burton Egbert, 1872-1962",M
"Björkman, Edwin, 1866-1951",X
"Magnus, Laurie, 1872-1933 [Author of introduction, etc.]",X
"Rosenberg, C. G. (Charles G.) [Editor]",X
"Francis, John, 1875-",X
"Tucker, Wilson, 1914-2006",X
"Collins, Wilkie, 1824-1889",M
"Stellman, Louis J. (Louis John), 1877-1961",M
"Clothier, Bill, 1921-2015",X
"Dunsany, Lord, 1878-1957",X
"Multatuli, 1820-1887",M
"Serao, Matilde, 1856-1927",F
"Budrys, Algis, 1931-2008",M
"Skinner, M. L. (Mary Louisa), 1876-1955",X
"Hine, Muriel",X
"Johnson, E. Pauline, 1861-1913",F
"Mittleman, E.",X
"Schierbrand, Wolf von, 1851-1920 [Translator]",X
"Mitchell, Ruth Comfort, 1882-1954",F
"Armour, Rebecca Agatha, 1845-1891",F
"Fawcett, E. Douglas (Edward Douglas), 1866-1960",M
"Jewell, Edward Alden, 1888-1947",M
"Lovell, Archibald [Translator]",X
"Bennett, Keith",X
"Evans, E. Everett (Edward Everett), 1893-1958",X
"Corvus, M.",X
"Rives, Hallie Erminie, 1876-1956",X
"Hanson, Joseph Mills, 1876-",X
"Noyes, Alfred, 1880-1958",X
"Farjeon, B. L. (Benjamin Leopold), 1833-1903",X
"Jackson, Daniel, 1790-",X
"McFee, William, 1881-1966 [Author of introduction, etc.]",M
"Roe, Vingie E. (Vingie Eve), 1879-1958",F
"Van Vechten, Carl, 1880-1964 [Editor]",X
"Farnol, Jeffery, 1878-1952",M
"De Lisser, Herbert George, 1878-1944",M
"Devereux, Blanche",X
"Aitken, Robert, 1872-",X
"Boyd, Ernest Augustus, 1887-1946 [Translator]",M
"Winter, Alice Ames, 1865-1944",F
"Neihardt, John G., 1881-1973",M
"Smith, Thorne, 1892-1934",X
"Hauff, Wilhelm, 1802-1827",X
"Mitford, Mary Russell, 1787-1855 [Contributor]",M
"Pyle, Howard, 1853-1911",X
"Gardiner, Thomas S.",X
"Pollard, Eliza F., 1840-1911 [Adapter]",X
"Hueston, Ethel, 1887-1971",X
"Benson, B. K. (Blackwood Ketcham), 1845-",X
"Bone, David W. (David William), 1874-1959",M
"Skinner, Charlotte",X
"Martin, Absalom",X
"Viebig, Clara, 1860-1952",F
"Shedd, George C. (George Clifford), 1877-1937",M
"Corbet, Miles [Translator]",X
"Elliott, Maud Howe, 1854-1948",F
"Egerton, George, 1859-1945 [Translator]",F
"Standish, Burt L., 1866-1945",M
"D'Anvers, N., -1933 [Translator]",X
"Barnett, Ada",X
"Robertson, Andrew",X
Pish,X
"Geier, Chester S., 1921-1990",X
"Chatfield-Taylor, H. C. (Hobart Chatfield), 1865-1945",M
"Ralph, Julian, 1853-1903 [Contributor]",X
"Nerval, Gérard de, 1808-1855",M
"Hoare, Edward N., 1842-",X
"Peterson, Charles J. (Charles Jacobs), 1819-1887",X
"Spalding, Henry [Translator]",X
"Bisson, Alexandre, 1848-1912",M
"Gosse, Edmund, 1849-1928 [Author of introduction, etc.]",X
"Sologub, Fyodor, 1863-1927",M
"Moulton, Charles Wells, 1859-1913 [Editor]",X
"Furman, Lucy S.",X
"Price-Brown, John, 1844-1938",M
"Dutt, Manmatha Nath [Translator]",X
"Sayre, Theodore Burt, 1874-1954",X
"Evans, Augusta J. (Augusta Jane), 1835-1909",F
"Pangborn, Edgar, 1909-1976",M
"Wood, Henry, 1834-1909",M
"Crim, Matt, Miss",X
"Norman, James, 1912-1983",X
"Magruder, Julia, 1854-1907",F
"Brooks, Charles Timothy, 1813-1883 [Translator]",M
"Mason, Mary Murdoch",X
"Lee, Elizabeth, 1858?-1920 [Translator]",X
"Zhelikhovskaia, V. P. (Vera Petrovna), 1835-1896 [Contributor]",X
"MacGregor, Mary Esther Miller, 1876-1961 [Editor]",X
"Marquis, Thomas Guthrie, 1864-1936",X
"Ritchie, Anne Thackeray, 1837-1919 [Author of introduction, etc.]",M
"Gide, André, 1869-1951",M
"Morton, Martha, 1865-1925",F
"White, William Patterson, 1884-",X
"Thanet, Octave, 1850-1934",F
"Baldwin, Faith, 1893-1978",F
"Coolidge, Dane, 1873-1940",M
"Scott, John Reed, 1869-1942",M
"Whittier, John Greenleaf, 1807-1892",M
"Pushkin, Aleksandr Sergeevich, 1799-1837",M
"Davidson, John, 1857-1909",M
"Vincent, Harl, 1893-1968",M
"Ongley, Leo [Translator]",X
"Coombe, Florence",X
"Stevens, Francis, 1883-1948",F
"Buck, Charles Neville, 1879-1957",X
"Milne-Home, Mary Pamela [Translator]",X
"Purcell, Dick",X
"Grant, Robert, 1852-1940",M
"Bierce, Ambrose, 1842-1914?",M
"Murray, Charles Augustus, Sir, 1806-1895",M
"Wister, Owen, 1860-1938",M
"Benét, Stephen Vincent, 1898-1943",M
"Peterson, Spiro [Editor]",X
"Macnaughtan, S. (Sarah), 1864-1916",F
"Joyce, John A. (John Alexander), 1842-1915",X
"Aandahl, Vance, 1942-",X
"Foote, John Taintor, 1881-1950",M
"Harrison, Burton, Mrs., 1843-1920",F
"Chapman, Allen",X
"Moorman, F. W. (Frederic William), 1872-1919",X
"England, George Allan, 1877-1936",M
"Starr, J. Leander (John Leander), 1802- [Translator]",X
"Edgar, John G. (John George), 1834-1864",M
"Rothman, Milton A., 1919-2001",M
"Von Arnim, Elizabeth, 1866-1941",F
"Russell, William Clark, 1844-1911 [Contributor]",X
"Halliday, Andrew [Contributor]",X
"Reade, Charles, 1814-1884 [Contributor]",X
"Sladen, Douglas Brooke Wheelton, 1856-1947",M
"Balmer, Edwin, 1883-1959",M
"Girardin, Emile de, Mme, 1804-1855",F
"Miller, Lewis",X
"Lobeira, Vasco de, -1403",X
"Bradford, Sarah H. (Sarah Hopkins), 1818-",X
"McGuire, John Joseph, 1917-1981",X
"Zschokke, Heinrich, 1771-1848",M
"Curry, Mike",X
"Lang, Andrew, 1844-1912 [Contributor]",X
"Moore, John Trotwood, 1858-1929",M
"Doubleday, W. E. (William Elliott), 1865-",X
"Aguilar, Grace, 1816-1847",F
"Jope-Slade, Christine",X
"MacKenna, Robert William, 1874-1930",X
"Olesch, Gunther [Translator]",X
"Eayrs, Hugh S. (Hugh Sterling), 1894-1940",X
"Allerton, James M. (James Martin)",X
"Rigg, J. M. (James Macmullen), 1855-1926 [Translator]",M
"De la Mare, Walter, 1873-1956",M
"De La Vergne, George Harrison, 1868-",X
"Huysmans, J.-K. (Joris-Karl), 1848-1907",M
"Watts-Dunton, Theodore, 1832-1914 [Editor]",M
"Farmer, Philip José, 1918-2009",M
"Keyworth, J. W.",X
"Morrison, Arthur, 1863-1945 [Contributor]",X
"White, William Hale, 1831-1913",M
"Douglas, Robert K. (Robert Kennaway), Sir, 1838-1913 [Contributor]",X
"Coleridge, Christabel R. (Christabel Rose), 1843-1921",F
"Brooke, Frances, 1724?-1789",X
"Rosegger, Peter, 1843-1918",M
"Baxter, Beverley, 1891-1964",M
"Lyons, A. Neil (Albert Neil), 1880-1940",X
"Uchard, Mario, 1824-1893",X
"Van Zile, Edward S. (Edward Sims), 1863-1931",M
"LM (Leslie Moore), 1888-1978",X
"Stoddard, Elizabeth, 1823-1902",X
"Black, David [Translator]",X
"Talmage, T. De Witt (Thomas De Witt), 1832-1902 [Author of introduction, etc.]",X
"Hopkins, Herbert M. (Herbert Müller), 1870-1910",X
"Suttner, Bertha von, 1843-1914",F
"Morris, Charles, 1833-1922",M
"Greey, Edward, 1835-1888",X
"Williams, Isabel Cecilia",X
"Pansy, 1841-1930",X
"Burr, E. F. (Enoch Fitch), 1818-1907",M
"Edwards, Osman, 1864-1936 [Translator]",M
"Moir, D. M. (David Macbeth), 1798-1851",M
"Scott, Duncan Campbell, 1862-1947",M
"Merchant, Ella",X
"Tracy, Louis, 1863-1928",M
"Kirby, William, 1817-1906",X
"Hough, Emerson, 1857-1923",M
"Boldrewood, Rolf, 1826-1915",M
"Carleton, William, 1794-1869",M
"Hayes, J. W. (Jeff W.), 1853-1917",M
"Miller, Irene",X
"Waugh, Edwin, 1817-1890",M
"Westrup, Margaret",X
"Bartimeus, 1886-1967",X
"Tiphaigne de La Roche, Charles-François, 1722-1774",X
"Hodder, Edwin, 1837-1904",X
"Morgan, Lady (Sydney), 1783-1859",M
"Bentzon, Th., 1840-1907",X
"Casey, Patrick, 1893-",X
"Berdoe, Edward, 1836-1916",M
"Noble, Alden Charles, 1880-",X
"Bellinger, Martha Idell Fletcher, 1870-1960",X
"Potter, Austin, 1842-1913",X
"Hawes, Charles Boardman, 1889-1923",M
"Keniston, Hayward, 1883- [Translator]",X
"Willoughby, Barrett, -1959",X
"Cable, George Washington, 1844-1925",M
"Connington, J. J., 1880-1947",M
"Bates, Arlo, 1850-1918",M
"Pringle, George Charles Fraser, 1873-1949",X
"Marchant, Bessie, 1862-1941",F
"Henry, Stuart Oliver, 1860-1953",X
"Stevens, Augusta de Grasse, 1852-1894",X
"Flagg, Edmund, 1815-1890",X
"Tregarthen, J. C. (John Coulson), 1854-1933",M
"Mitford, Bertram, 1855-1914",X
"Adams, Andy, 1859-1935",M
"Frewer, Ellen Elizabeth [Translator]",X
"Glaspell, Susan, 1882?-1948",X
"Finley, Martha, 1828-1909",F
"Scott, Fred Newton, 1860-1931 [Editor]",X
"Morton, Victoria [Adapter]",X
"Proulx, Annie, 1935-",X
"Arnold, George, 1834-1865 [Contributor]",M
CIOS,X
"Dunn, J. Allan, (Joseph Allan), 1872-1941",M
"Cornelius, Mary Ann Mann, 1829-1918",M
"Smith, Mabell S. C. (Mabell Shippie Clarke), 1864-1942",X
"French, Allen, 1870-1946",M
"Lent, Edward B. (Edward Burcham), 1869-",X
"Murray, Charles Theodore, 1843-1924",X
"Schreiner, Olive, 1855-1920",F
"Syrett, Netta, 1865-1943 [Contributor]",X
"Keller, Teddy",X
"Stoker, Bram, 1847-1912",M
"Langer, Angela, 1886-1916",M
"Findlater, Mary, 1865-1963",X
"Soissons, Count de, 1860- [Translator]",X
"Merwin, Bannister",X
"Starrett, Vincent, 1886-1974 [Editor]",M
"Oemler, Marie Conway, 1879-1932",F
"Forbes-Lindsay, C. H., 1860-",X
"Hudson, W. H. (William Henry), 1841-1922 [Contributor]",M
"Limburg Brouwer, P. A. S. van (Petrus Abraham Samuel), 1829-1873",X
"Gilman, Wenona",X
"Tolstoy, Leo, graf, 1828-1910 [Contributor]",X
"Cobb, Irvin S. (Irvin Shrewsbury), 1876-1944 [Commentator]",X
"Zangwill, Israel, 1864-1926 [Contributor]",M
"Pu, Songling, 1640-1715",M
"Jones, Bascom",X
"Azuela, Mariano, 1873-1952",M
"Durham, Robert Lee, 1870-1949",X
"Curnick, Edward T.",X
"Payne, John, 1842-1916 [Translator]",M
"Palmer, Lloyd",X
"Boren, Sol",X
"Jeshurun, George [Translator]",X
"Warner, Anne, 1869-1913",X
"Boyesen, Hjalmar Hjorth, 1848-1895",M
"Mitchell, I. (Isaac), 1759?-1812",X
"Gillette, William, 1853-1937",M
"Hoyt, Deristhe L. (Deristhe Levinte)",X
"Trollope, Frances Eleanor, 1835-1913",F
"Harben, Will N. (Will Nathaniel), 1858-1919",M
"Norris, Kathleen Thompson, 1880-1966",F
"Hecht, Ben, 1894-1964",M
"Skiles, May Evelyn",X
"Martin, Eva (Translator) [Translator]",X
"Gilmore, James R. (James Roberts), 1822-1903",M
"Knox, Gilbert, 1878-1965",F
"Riis, Jacob A. (Jacob August), 1849-1914",X
"Gribble, Francis Henry, 1862-1946",M
"Evarts, Hal G. (Hal George), 1887-1934",X
"Galsworthy, John, 1867-1933",M
"Oliphant, Laurence, 1829-1888",M
"Le Feuvre, Amy, -1929",X
"Stacpoole, Margaret Robson",X
"Trollope, Thomas Adolphus, 1810-1892",M
"Hains, T. Jenkins (Thornton Jenkins), 1866-1953",M
"Colcord, Lincoln, 1883-1947",M
"Quigg, Lemuel Ely, 1863-1919",M
"Hammond, Lily Hardy, 1859-1925",M
"Wallis, Ella Bell",X
"Bingham, Kate Boyles, 1876-1959",X
"Sheehan, Patrick Augustine, 1852-1913",X
"Hutcheson, John C. (John Conroy)",X
"Van Slyke, Lucille, 1880-",X
"Diderot, Denis, 1713-1784",M
"Bunyan, John, 1628-1688",M
"Orzeszkowa, Eliza, 1842-1910",X
"Chateaubriand, François-René, vicomte de, 1768-1848",X
"Sabatini, Rafael, 1875-1950",M
"Drummond, Hamilton, 1857-1935",X
"Milne, A. A. (Alan Alexander), 1882-1956",M
"Wright, Mabel Osgood, 1859-1934",F
"Newby, C. J., Mrs.",X
"Garland, Hamlin, 1860-1940",M
"O'Reilly, John Boyle, 1844-1890",M
"St. John, Percy B. (Percy Bolingbroke), 1821-1889 [Translator]",X
"Ward, William (Author at Arthur Westbrook Co. (Cleveland, Ohio))",X
"Strang, Herbert",X
"Clifford, W. K., Mrs., -1929",X
"Scott, Leroy, 1875-1929 [Contributor]",M
"Curties, Henry, 1860-",X
"Wetmore, Claude H., 1863-1944",X
"Everett-Green, Evelyn, 1856-1932",F
"Keller, Gottfried, 1819-1890",M
"Abbott, Belle K. (Belle Kendrick), 1842-1893",F
"Jackson, William H.",X
"Mills, Weymer Jay, 1880-1938",X
"Smyth, Clifford, 1866-1943",X
"Hugo, Victor, 1802-1885",X
"Staub, Edward S.",X
"Zola, Émile, 1840-1902",M
"Topelius, Zacharias, 1818-1898",M
"Praed, Campbell, Mrs., 1851-1935",F
"Bower, John Graham, 1886-1940",F
"Grisewood, R. Norman (Robert Norman), 1876-1923",M
"Coppel, Alfred, 1921-2004",M
"Chapman, Frederic, -1918 [Editor]",X
"Howarth, David",X
"Cheney, Roland",X
"Maclaren, Ian, 1850-1907 [Contributor]",X
"Cumberland, Gerald, 1879-1926",M
"Munguía, E. (Enrique), 1903- [Translator]",X
"Newte, Horace W. C. (Horace Wykeham Can), 1870-1949",M
"Brunt, Samuel",X
"Savage, William T., Mrs.",X
"Thompson, Daniel P. (Daniel Pierce), 1795-1868",M
"Young, William, 1809-1888",M
"Duffield, Elizabeth M.",X
"Mantellini, Gaetano Ettore Raffaele, 1856- [Translator]",X
"Herbin, John Frederic, 1860-1923",X
"Blavatsky, H. P. (Helena Petrovna), 1831-1891",F
"Warner, Harry, 1922-2003",X
"Gillespie, W. A., Mrs. [Translator]",X
"Watts, Henry Edward, 1826-1904 [Editor]",M
"McNeely, Marian Hurd, 1877-1930",F
"Duncan, Norman, 1871-1916",M
"Halévy, Ludovic, 1834-1908",M
"Munro, John, 1849-1930",X
"Cleghorn, Sarah Norcliffe, 1876-1959 [Contributor]",X
"Powell, G. H. (George Herbert), 1856-1924 [Contributor]",M
"Barron, Edward, 1874-",X
"Inman, Herbert",X
"Old Sleuth, 1839?-1898",X
"Wall, Bernard",X
"Mathews, Frances Aymar, 1865?-1925",X
"France, Anatole, 1844-1924",M
"Kubilius, Walter, 1918-1993",X
"Motteux, Peter Anthony, 1660-1718 [Translator]",X
"Pearse, Mark Guy, 1842-1930",M
"Gallizier, Nathan, 1866-1927",X
"Bouton, John Bell, 1830-1902",M
"Farley, Ralph Milne, 1887-1963",M
"Mitford, Edward Ledwich",X
"Berry, Don, 1932-2001",M
"Brame, Charlotte M., 1836-1884",F
"Ludens, Magnus",X
"Congreve, William, 1670-1729",M
"Vaughan, Charles Edwyn, 1854-1922 [Commentator]",X
"Allonby, Edith",X
"Lagerlöf, Selma, 1858-1940",F
"Douglas, O., 1877-1948",X
"Dilley, Edgar M. (Edgar Meck), 1874-1960",X
"Coppée, François, 1842-1908",M
"Brooks, Virginia, 1886-",X
"Sivia, H.",X
"Daviess, Maria Thompson, 1872-1924",F
"Sage, William, 1864-",X
"Cathal, Michael",X
"Sutphen, Van Tassel, 1861-1945",M
"Alexander, James B. (James Bradun), 1831-1914",X
"Kummer, Frederic Arnold, 1873-1943",M
"Forrest, James T. (James Taylor), 1921-",X
"Emanuel, Walter, 1869-1915",X
"Murger, Henri, 1822-1861",M
"Rocklynne, Ross, 1913-1988",M
"Stratton-Porter, Gene, 1863-1924",F
"Kingsbury, Carlton A., Mrs. [Translator]",X
"Curtis, George William, 1824-1892",M
"Apel, August, 1771-1816 [Contributor]",M
"Grace, Alfred A. (Alfred Augustus), 1867-1942",M
"Dos Passos, John, 1896-1970",M
"Natsume, Soseki, 1867-1916",M
"Applin, Arthur, 1873-1949",X
"Chapman, Frederic, -1918 [Translator]",X
"Margolies, Vera [Translator]",X
"Castle, Arnold",X
"Newman, John Henry, 1801-1890",M
"Morrison, Arthur, 1863-1945",M
"Butterworth, Hezekiah, 1839-1905 [Author of introduction, etc.]",X
"Loomis, Noel M., 1905-1969",M
"Rittenberg, Max, 1880-1965",X
"Young, Francis Brett, 1884-1954",M
"Effron, H. Sanford",X
"Tall, Stephen, 1908-1981",M
"Hooton, Charles, 1813?-1847",X
"Abbott, Lyman, 1835-1922",M
"Barker, B. (Benjamin)",X
"Beals, Christine",X
"Stone, William L. (William Leete), 1792-1844",M
"Brightwell, C. L. (Cecilia Lucy), 1811-1875",F
"Fletcher, J. S. (Joseph Smith), 1863-1935 [Editor]",M
"Chapman, Jane Frances [Translator]",X
"Caruthers, William Alexander, 1802-1846",M
"Vivanti, Annie, 1866-1942",F
"Jones, Erasmus W., 1817-1909",X
"Whitman, Stephen French",X
"Chesterton, G. K. (Gilbert Keith), 1874-1936 [Commentator]",X
"Haggard, H. Rider (Henry Rider), 1856-1925 [Contributor]",M
"Belloc, Hilaire, 1870-1953 [Author of introduction, etc.]",X
"Fuller, Anna, 1853-1916",X
"Lespérance, John, 1838-1891",M
"Knox, Thomas Wallace, 1835-1896",M
"Cox, Florence Tinsley, 1877-1940",X
"Duras, Claire de Durfort, duchesse de, 1777-1828",M
"Pulszky, Ferencz Aurelius, 1814-1897 [Commentator]",X
"Groner, Auguste, 1850-1929",F
"Hall, Edith King",X
"Schiaparelli, G. V. (Giovanni Virginio), 1835-1910 [Contributor]",X
"Kingston, William Henry Giles, 1814-1880",M
"Binns, Ottwell, 1872-1935",M
"Leroux, Gaston, 1868-1927",M
"Pearce, Charles Edward, -1924",X
"Frankau, Gilbert, 1884-1952",M
"Maniates, Belle Kanaris",X
"Wilber, Elaine",X
"Rand, Ayn, 1905-1982",X
"Hill, John A. (John Alexander), 1858-1916",M
"Gaboriau, Emile, 1832-1873",M
"Scott, Robert",X
"Carr, Terry, 1937-1987",M
"Hawks, Wells",X
"Provost, Maxime",X
"Kelland, Clarence Budington, 1881-1964",M
"Morehead, George [Translator]",X
"Asimov, Isaac, 1920-1992",M
"Blaze de Bury, Fernande, 1854-1931",X
"Fitzpatrick, Percy, 1862-1931",M
"Sackville-West, V. (Victoria), 1892-1962",F
"Artsybashev, M. (Mikhail), 1878-1927",X
"Austin, Mary, 1868-1934 [Contributor]",X
"Smith, Francis Hopkinson, 1838-1915",M
"Farrère, Claude, 1876-1957",M
"Bloxam, John Francis, 1873-1928",X
"Bremer, Fredrika, 1801-1865",F
"Gibbons, Louise Élise",X
"Burroughs, Edgar Rice, 1875-1950",M
"Rinehart, Mary Roberts, 1876-1958",F
"Anvil, Christopher, 1925-2009",M
"Franklin, Jay, 1897-1967",M
"Queirós, Eça de, 1845-1900",M
"Lermontov, Mikhail Iurevich, 1814-1841",M
"Hutchings, Emily Grant [Author of introduction, etc.]",X
"Thurston, E. Temple (Ernest Temple), 1879-1933",M
"Ruzic, Neil P., 1930-2004",X
"Norris, Zoé Anderson",X
"Saint-Pierre, Bernardin de, 1737-1814",M
"Kenyon, E. C. (Edith C.)",X
"Flaubert, Gustave, 1821-1880",M
"Cheley, Frank H. (Frank Howbert), 1889-1941",X
"Pendexter, Hugh, 1875-1940",M
"Coppard, A. E. (Alfred Edgar), 1878-1957",M
"Sills, Steven David Justin",X
"Boyles, Virgil D. (Virgil Dillin), 1872-",X
"Stanley, Louisa Dorothea, -1877 [Translator]",X
"Broughton, Rhoda, 1840-1920",F
"Verga, Giovanni, 1840-1922",M
"Rowland, Helen, 1876-",X
"Spalding, Henry S. (Henry Stanislaus), 1865-1934",M
"Marsh, Willard, 1922-1970",X
"Gray, David, 1870-1968 [Contributor]",X
"Howells, Mildred, 1872- [Author of introduction, etc.]",X
"Osbourne, Lloyd, 1868-1947",M
"Levinrew, Will, 1881-",X
"Filon, Augustin, 1841-1916",M
"Pearson, Edmund Lester, 1880-1937",M
"Moodie, Susanna, 1803-1885",F
"Perrie, George W.",X
"Richardson, Norval, 1877-1940",X
"Prévost, Marcel, 1862-1941 [Author of introduction, etc.]",X
Tush,X
"Speight, T. W. (Thomas Wilkinson), 1830-1915",M
"Ransome, Arthur, 1884-1967",X
"Hamilton, Mary, Lady, 1739-1816",M
"Surtees, Robert Smith, 1805-1864",M
"Jókai, Mór, 1825-1904 [Contributor]",X
"DuPuy, William Atherton, 1876-1941",X
"Wellman, Manly Wade, 1903-1986",M
"Garnett, R. S. (Robert Singleton), 1866-1932 [Translator]",M
"Sacher-Masoch, Leopold, Ritter von, 1835-1895",X
"Merwin, Sam, 1910-1996",M
"Woolf, Virginia, 1882-1941 [Translator]",X
"Mullen, Stanley, 1911-1974",M
"Morehart, Malcolm B.",X
"Goldberg, Isaac, 1887-1938 [Translator]",M
"Hewlett, Maurice, 1861-1923",M
"Bush, Isabel Graham",X
"Hasse, Henry, 1913-1977",M
"Kastle, Herbert D., 1924-1987",X
"Walter, Frederick Paul, 1943- [Translator]",X
"Joly, H. Bencraft, 1857-1898 [Translator]",X
"Gore, Mrs. (Catherine Grace Frances), 1799-1861",X
"Banks, William, 1859?-1920",X
"Garibaldi, Giuseppe, 1807-1882",M
"Thanet, Octave, 1850-1934 [Contributor]",X
"Einstein, Charles, 1926-2007",M
"Byrum, Isabel C. (Isabel Coston), 1870-1938",X
"Garrett, Randall, 1927-1987",M
"Neville, Richard",X
"Foster, A. J.",X
"Futrelle, Jacques, 1875-1912",M
"Wallace, Lew, 1827-1905",X
"Norton, Andre, 1912-2005",F
"Caldwell, Willie Walker, 1860-1946",F
"Murfree, Mary Noailles, 1850-1922",F
"Stork, Elisabeth P. (Elisabeth Pausinger) [Translator]",X
"Aldrich, Anne Reeve, 1866-1892",F
"Ouida, 1839-1908 [Contributor]",X
"Gerken, William",X
"Bartlett, Paul Alexander, 1909-1990",X
"Bennett, Arnold, 1867-1931",M
"Fennel, Erik",X
"Peacock, Thomas Love, 1785-1866",M
"Hardman, Frederick, 1814-1874 [Contributor]",M
"Loti, Pierre, 1850-1923",M
"Engelbach, Alfred H.",X
"Raffalovich, George, 1880-1958 [Translator]",X
"Yonge, Charlotte M. (Charlotte Mary), 1823-1901 [Author of introduction, etc.]",F
"Long, John Luther, 1861-1927",M
"Andersen, H. C. (Hans Christian), 1805-1875",X
"Quick, Dorothy, 1896-1962",M
"Wolffsohn, Lily [Translator]",X
"Wintour, Caroline [Translator]",X
"Morley, Christopher, 1890-1957 [Commentator]",X
"Brooks, Kirby",X
"Burnett, Frances Hodgson, 1849-1924",F
"Phelps, Elizabeth Stuart, 1844-1911",X
"Vandercook, Margaret, 1876-1958",X
"Taylor, G. Winifred (Gertrude Winifred), 1883?-",X
"Hornung, E. W. (Ernest William), 1866-1921",M
"Landis, Frederick, 1872-1934",M
"Kingsley, Florence Morse, 1859-1937",F
"Petronius Arbiter, 20-66",M
"Chapman, R. W. (Robert William), 1881-1960 [Editor]",M
"Dale, Alan, 1861-1928",X
"Merrick, Leonard, 1864-1939",M
"McIntosh, Maria J. (Maria Jane), 1803-1878",F
"O'Connor, William Douglas, 1832-1889",M
"Fraser, Hugh, Mrs., 1851-1922",F
"Leslie, Madeline, 1815-1893",F
"Smith, Winchell, 1871-1933",M
"Jefferies, Richard, 1848-1887",M
"Du Boisgobey, Fortuné, 1821-1891",M
"Morris, Gouverneur, 1876-1953 [Author of introduction, etc.]",X
"Babcock, Edwina Stanton",X
"Bell, J. J. (John Joy), 1871-1934",M
"Pattullo, George, 1879-1967",M
"Doyle, C. W. (Charles William), 1852-1903",X
"Speare, Dorothy, 1898-1951",M
"Bain, R. Nisbet (Robert Nisbet), 1854-1909 [Translator]",X
"Witwer, H. C. (Harry Charles), 1890-1929",M
"Young, Virginia C.",X
