author,gender
"Stimpson, Herbert Baird, 1869-",M
"Wilson, Harry Leon, 1867-1939",M
"Zilboorg, Gregory, 1890-1959 [Translator]",M
"Ritchie, Anna Cora Ogden Mowatt, 1819-1870",F
"Taylor, C. Bryson, 1880-",F
"Giunta, Aldo",M
"Schere, Moses, 1913-1996",X
"Noguchi, Yoné, 1875-1947",M
"Rowson, Mrs., 1762-1824",F
"Beard, Daniel Carter, 1850-1941",M
"Payne, Dutton",X
"Howells, William Dean, 1837-1920 [Author of introduction, etc.]",M
"La Motte-Fouqué, Friedrich Heinrich Karl, Freiherr de, 1777-1843",M
"Williams, Wayland Wells, 1888-1945",M
"Edrich, George",X
"Barr, Robert, 1850-1912",M
"Darlington, W. A. (William Aubrey), 1890-1979",M
"Brovan, L. C. [Compiler]",X
"Mighels, Philip Verrill, 1869-1911",M
"Sudermann, Hermann, 1857-1928",M
"Prus, Bolesław, 1847-1912",M
"McKenty, Jack",X
"Sutton, Jeff, 1913-1979",M
"Hunt, Violet, 1862-1942",F
"Perce, Elbert, 1831-1869 [Translator]",M
"Townsend, R. S. [Translator]",F
"Vandeleur, Judith",X
"Middleton, Lydia Miller, 1866-1934",F
"Micheaux, Oscar, 1884-1951",M
"MacMahon, Henry",M
"Munroe, Kirk, 1850-1930",M
"Bailey, Arthur Scott, 1877-1949",M
"Kent, Elizabeth, 1875-1947",F
"Willard, Lawrence F.",M
"Saki, 1870-1916",M
"Warfield, Catherine A. (Catherine Ann), 1816-1877",F
"Savage, Richard, 1846-1903",M
"Stephens, Robert Neilson, 1867-1906",M
"Prescott, Emily [Translator]",F
"Townsend, Mary Ashley, 1832-1901",F
"Eliot, Ethel Cook, 1890-1972",F
"Gilbert, Rosa M. (Rosa Mulholland), 1841-1921",F
"Lie, Jonas, 1833-1908",M
"McCall, Sidney",F
"Broderick, Therese, 1870-",X
"Korolenko, Vladimir Galaktionovich, 1853-1921",M
"Ludwig, Edward W., 1920-1990",X
"Warden, Florence, 1857-1929",F
"Carr-Harris, Bertha, 1863-1949",F
"Wisdom, J. H. [Translator]",X
"Lewes, Charles Lee, 1843-1891 [Translator]",M
"Griffith, Mary, -1846",F
"Royová, Kristína, 1860-1936",F
"Bowling, John (Novelist)",M
"Robinson, Clara Weaver, 1845-1905 [Editor]",X
"Wiseman, Nicholas Patrick, 1802-1865",M
"Argens, Jean-Baptiste de Boyer, marquis d', 1704-1771 [Contributor]",M
"Meredith, Ellis, 1865-",F
"Cory, Charles B. (Charles Barney), 1857-1921",M
"Bennitt, Ralph",X
"White, Annie Randall",X
"Reeve, Clara, 1729-1807",F
"Hendryx, James B. (James Beardsley), 1880-1963",M
"Newcastle, Margaret Cavendish, Duchess of, 1624?-1674",F
"Quick, Herbert, 1861-1925",M
"Porter, Eleanor H. (Eleanor Hodgman), 1868-1920",F
"Christie, Agatha, 1890-1976",F
"Laclos, Choderlos de, 1741-1803",M
"Harris, Credo Fitch, 1874-1956",M
"Hutchings, Emily Grant",F
"Phillips, David Graham, 1867-1911",M
"Ballantyne, R. M. (Robert Michael), 1825-1894",M
"Forrester, Andrew",M
"Phifer, Charles Lincoln, 1860-1931",M
"Webb, Mary Gladys Meredith, 1881-1927",F
"Robins, E. P. [Translator]",X
"Schiller, Friedrich, 1759-1805",M
"Walpole, Hugh, 1884-1941",M
"Leahy, William Augustine, 1867-",X
"Madison, Lucy Foster, 1865-1932",F
"Fern, Fanny, 1811-1872",F
"Bergsøe, Vilhelm, 1835-1911 [Contributor]",M
"Balliet, Thomas M. (Thomas Minard), 1852-1942 [Editor]",M
"Keller, David H. (David Henry), 1880-1966",M
"Mérimée, Prosper, 1803-1870",M
"Crackanthorpe, Hubert, 1870-1896 [Contributor]",M
"Jabez, Brother",M
"Anthony, A. V. S. (Andrew Varick Stout), 1835-1906 [Engraver]",M
"Munro, Neil, 1864-1930",M
"Hastings, Wells, 1879-1923",M
"Harper, Frances Ellen Watkins, 1825-1911",F
"Staël, Madame de (Anne-Louise-Germaine), 1766-1817",F
"Somerville, E. Oe. (Edith Oenone), 1858-1949",F
"Rolland, Romain, 1866-1944",M
"Sumichrast, Frederick C. de (Frederick Caesar de), 1845-1933 [Translator]",M
"Sherer, Moyle, 1789-1869",M
"Prentiss, E. (Elizabeth), 1818-1878",F
"Cavendish, Georgiana Spencer, Duchess of Devonshire, 1757-1806",F
"Eliot, T. S. (Thomas Stearns), 1888-1965",M
"Gorky, Maksim, 1868-1936",M
"West, John Foster, 1918-2008",M
"Rockwood, Roy",M
"Black, William, 1841-1898",M
"Souvestre, Émile, 1806-1854",M
"Harland, Henry, 1861-1905 [Translator]",M
"Millet, Francis Davis, 1846-1912",M
"Higginson, Ella, 1862-1940",F
"Thruston, Lucy M. (Lucy Meacham), 1862-1938",F
"Harris, Joel Chandler, 1848-1908 [Contributor]",M
"Ritchie, David G. (David George), Mrs.",M
"Baker, Charles A.",M
"Pinkerton, Percy, 1855-1946 [Translator]",M
"Sullivan, May Kellogg",F
"Ritchie, Leitch, 1800?-1865 [Editor]",M
"Tytler, Sarah, 1827-1914",F
"Van Schaick, George, 1861-1924",M
"Hopkins, R. Thurston (Robert Thurston), 1884-1958",M
"Matthews, W. J. (William J.)",M
"Coggins, Frank W.",X
"Ludlow, James M. (James Meeker), 1841-1932",M
"Porter, Jane, 1776-1850",F
"Locke, Richard Adams, 1800-1871",M
"Alger, Horatio, Jr., 1832-1899",M
"Oppenheim, James, 1882-1932",M
"Rath, E. J.",F
"Brewer, Ebenezer Cobham, 1810-1897",M
"Brieux, Eugène, 1858-1932",M
"Bates, Cornelia Frances, 1826-1908 [Translator]",F
"Moffett, Cleveland, 1863-1926",M
Erckmann-Chatrian,M
"Bacon, Josephine Daskam, 1876-1961",F
"Davis, Means",M
"Creswicke, Louis",M
"Sangster, Margaret E. (Margaret Elizabeth), 1894-1981",F
"Smith, Brainard Gardner, 1846-1930",M
"Tappan, Eva March, 1854-1930",F
"Holt-White, W. (William), 1878-1937",M
